parcelNumber,fullAddress,longitude,latitude,distanceFromWarehouseMiles,appraisedValue,yearBuilt,numStories,livingArea,numBedrooms,numFullBaths,numHalfBaths,basement,basementArea
17-19-03-46-000,"1398 COLBURN DR, Zanesville OH",-82.0421609,39.990053,4.5353110877702765,288500,2008,2,3152,4,3,1,YES,1744
17-19-03-50-000,"1415 BART LN, Zanesville OH",-82.041669,39.991394,4.621974939909315,244800,2003,1,1952,3,3,1,YES,1952
17-19-03-52-000,"1437 BART LN, Zanesville OH",-82.0431569,39.991871,4.668657398405407,236400,2002,1,2464,3,2,1,YES,2448
17-19-03-67-000,"1365 COLBURN DR, Zanesville OH",-82.040629,39.99087280000001,4.5771916757307824,226100,2003,2,2520,4,2,1,YES,1260
81-46-03-11-001,"1494 WHEELER RD, Zanesville OH",-81.987453,39.931862,2.121887053922383,126100,1860,2,2856,4,1,0,YES,1032
81-46-03-22-000,"1429 BOWMAN ST, Zanesville OH",-81.987292,39.933457,2.1554391814177647,36310,1995,1,720,1,1,0,YES,720
81-46-03-23-000,"369 FREEBORN AVE, Zanesville OH",-81.986992,39.933373,2.1693887489221386,21800,1885,1,956,2,1,0,NO,0
81-47-01-06-000,"450 SCHWALLIE AVE, Zanesville OH",-81.988096,39.931328,2.08115024278757,31400,1901,1,784,2,1,0,YES,784
81-47-02-01-000,"1362 WHEELER RD, Zanesville OH",-81.990855,39.93375,1.9788558265950824,57100,1990,1,1200,3,1,0,NO,0
81-47-02-03-000,"1372 WHEELER RD, Zanesville OH",-81.990714,39.933592,1.982943967177521,34600,1901,1,1116,2,1,0,YES,720
81-47-02-06-000,"1380 WHEELER RD, Zanesville OH",-81.990422,39.93328,1.9919444319363033,38900,1901,1,1120,2,1,0,YES,1120
81-47-05-07-000,"1436 ST JOHNS ST, Zanesville OH",-81.991826,39.9325789,1.9074138803300373,17600,1930,1,726,1,1,0,YES,363
81-43-01-07-000,"1319 SUNRISE AVE, Zanesville OH",-81.990782,39.930694,1.9329948021778276,41500,1945,1,780,2,1,0,YES,780
81-43-03-11-000,"1332 SUNRISE AVE, Zanesville OH",-81.990393,39.930261,1.948087343982852,44500,1930,1,1290,3,1,0,YES,314
81-43-03-13-000,"580 HAESSLER AVE, Zanesville OH",-81.9909349,39.929837,1.9150252347749035,31e3,1932,1,792,2,1,0,YES,240
81-44-01-03-000,"523 DOWNARD RD, Zanesville OH",-81.985468,39.9310295,2.2145358322295876,37200,1920,1,810,2,1,0,NO,0
