parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
81-47-04-01-000,ST CHARLES ST,$900.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-02-000,ST CHARLES ST,"$1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-03-000,ST CHARLES ST,"$1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES ST, Zanesville OH",39.9333732,-81.99155019999999,3115.9015453288976
81-47-04-16-000,ST CHARLES & HAESSLER ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST CHARLES & HAESSLER ST, Zanesville OH",38.7881062,-90.4974359,739728.2437957806
81-47-05-01-000,ST JOHN ST,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"ST JOHN ST, Zanesville OH",39.9325365,-81.99137429999999,3105.8170097734132
81-47-05-16-000,HAESSLER ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"HAESSLER ST, Zanesville OH",39.9304614,-81.9911857,3072.2991693668364
81-47-05-20-000,DANVILLE ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"DANVILLE ST, Zanesville OH",39.9318128,-81.99318629999999,2936.213447871244
81-48-01-03-000,1204 DANVILLE ST,"$27,500.00",1,1924,4,1,0,796,YES,672,"1204 DANVILLE ST, Zanesville OH",39.9316768,-81.99432329999999,2838.3400131817734
81-48-01-05-000,DANVILLE ST,$800.00,NA,NA,NA,NA,NA,NA,NA,NA,"DANVILLE ST, Zanesville OH",39.9318128,-81.99318629999999,2936.213447871244
81-51-02-12-000,219 STILLWELL ST,"$1,400.00",NA,NA,NA,NA,NA,NA,NA,NA,"219 STILLWELL ST, Zanesville OH",39.9358271,-82.0016096,2419.7227441753885
81-51-02-14-000,224 WAYNE AVE,$600.00,NA,NA,NA,NA,NA,NA,NA,NA,"224 WAYNE AVE, Zanesville OH",39.935765,-82.0020119,2386.2007398817786
81-51-02-21-000,921 HUGHES ST,"$1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"921 HUGHES ST, Zanesville OH",39.9355461,-82.00162759999999,2403.7739110925518
81-51-02-22-000,227 STILLWELL ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"227 STILLWELL ST, Zanesville OH",39.9356409,-82.001415,2424.7429770417375
81-51-02-23-000,229 STILLWELL ST,"$15,200.00",2,1875,3,1,0,1288,YES,272,"229 STILLWELL ST, Zanesville OH",39.9355661,-82.0013802,2423.5480751351456
81-51-02-25-000,235 STILLWELL ST,"$11,300.00",1,1901,2,1,0,680,NO,0,"235 STILLWELL ST, Zanesville OH",39.9354296,-82.0013901,2415.864177884275
81-51-02-26-000,WAYNE & MARIETTA,"$1,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"WAYNE & MARIETTA, Zanesville OH",42.2790746,-83.33618799999999,284078.105344576
81-51-03-07-000,317 WAYNE AVE,"$20,400.00",2,1928,4,1,1,1645,YES,917,"317 WAYNE AVE, Zanesville OH",39.9349069,-82.0026135,2296.4097741221553
81-51-03-18-000,HUGHES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"HUGHES ST, Zanesville OH",39.9353369,-82.0016983,2387.740675667055
81-51-03-19-000,822 HUGHES ST,$700.00,NA,NA,NA,NA,NA,NA,NA,NA,"822 HUGHES ST, Zanesville OH",39.935146,-82.00265499999999,2305.421473195072
81-51-04-02-000,960 HUGHES ST,"$18,670.00",1,1901,2,1,0,1254,YES,1254,"960 HUGHES ST, Zanesville OH",39.935113,-82.00053799999999,2465.526087668703
81-51-04-04-000,948 HUGHES ST,"$1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,"948 HUGHES ST, Zanesville OH",39.935078,-82.000849,2439.900030971907
81-51-04-25-000,330 WAYNE AVE,$900.00,NA,NA,NA,NA,NA,NA,NA,NA,"330 WAYNE AVE, Zanesville OH",39.9342858,-82.0019712,2315.672690992661
